Site,Longitude,Latitude,C14Age,C14Error,AgeCalBP,LabID,Database,Reference,Comment
Wittelsberg,8.85,50.75,4348,57,4933,Hd-16974,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Aartswoud,4.9685,52.7457,4360,45,4932,GrN-5946,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Kalibangan,74.130858,29.474327,4321,115,4924,TF-155,,"Vishnu-Mittre, Savithri R. 1982. Food economy of the Harappans. In: Possehl G.L., editor. Harappan Civilisation. Oxford and IBH Publishing Co. Pvt. Ltd; New Delhi. pp. 205–221; Singh, G, R D Joshi, S K Chopra, A B Singh, and Richard Gilbert West. 1974. “Late Quaternary History of Vegetation and Climate of the Rajasthan Desert, India.” Philosophical Transactions of the Royal Society of London. B, Biological Sciences 267 (889): 467–501; Shaffer, J.G. 1992. Indus Valley, Baluchistan, and Helmand Drainage (Afghanistan). In R.W. Ehrich (ed.) Chronologies in Old World Archaeology Volume 2. Chicago and London: Chicago University Press. Pp. 425-446.","Dolichos biflorus, Cicer arietinum, Lens esculenta, Pisum sativum, Hordeum vulgare, Triticum sp., cerealia"
Sohr Damb/Nal,65.466667,26.5,4358,37,4924,Bln-5518,,"Benecke, N., & Neef, R. (2005). Faunal and plant remains from Sohr Damb/Nal: A Prehistoric site (c. 3500–200 BC) in Central Balochistan (Pakistan). In U. Franke-Vogt & J. Weisshaar (Eds.), South Asian archaeology 2003. Proceedings of the European Association for South Asian Archaeology Conference (pp. 81–91). Aachen: Linden Soft; Görsdorf, J. & Franke-Vogt, U. 2007. Implication of radiocarbon dates from Sohr Damb/Nal, Balochistan. Radiocarbon 49(2). Pp. 703-712.","Triticum sp., Hordeum vulgare, Ficus sp., Vitis sp."
Brańsk- Chojewo,22.9617,52.7056,4340,50,4920,Ki 6909,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Gorzów Wielkopolski 10,15.25,52.7167,4320,90,4919,Ki 13128,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Beiqian East Shandong,120.74173,36.60067,4340,30,4910,Beta-344115,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria, Panicum"
Zielona,20.146,51.1562,4310,70,4898,Ki 7949,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
El Kiffen,-7.5833,33.3333,4300,80,4881,Auck. W-1518,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Oriyo Timbo (Chiroda),71.604444,21.886667,4285,170,4863,PRL-886,,"Reddy, S.N. 1994. Plant usage and subsistence modelling: an ethnoarchaeological approach to the Late Harappan of Northwest India. Ph.D. Dissertation. University of Wisconsin; Singh, B.P. (ed.) 1996. Indian Archaeology 1991-92. A Review. New Delhi: Archaeological Survey of India; Mahapatra, S.K. (ed.) 1995. Indian Archaeology 1990-91. A Review. New Delhi: Archaeological Survey of India.","Vigna mungo, Lens esculenta, Panicum sumatrense, Setaria sp."
Orlík-Krkavčí skála,14.1653,49.5108,4260,25,4841,UGAMS-9890,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Hayes,-86.766868,35.467106,4265,60,4832,Beta-45050,Smith (2009),"Smith, B. D., & Yarnell, R. A. (2009). Initial formation of an indigenous crop complex in eastern North America at 3800 B.P. Proceedings of the National Academy of Sciences, 106(16), 6561–6566. https://doi.org/10.1073/pnas.0901846106",Sunﬂower (helianthus annus)
Rojdi,70.918889,21.863056,4270,110,4832,PRL-1091,,"Weber, S.A. 1991. Plants and Harappan Subsistence – an Example of Stability and Change from Rojdi. New Delhi: Oxford-IBH; Joshi, M.C. (ed.) 1992. Indian Archaeology 1986-87. A Review. New Delhi: Archaeological Survey of India.","Vigna mungo, Hordeum vulgare, Panicum sumatrense, Setaria sp."
Surkotada,70.833333,23.616667,4265,135,4827,PRL-85,,,Panicum sp.
Morro do Ouro,-48.8299,-26.3129,4300,50,4826,,,"Wesolowski, Verônica, Sheila Maria Ferraz Mendonça de Souza, Karl J Reinhard, and Gregório Ceccantini. 2010. “Evaluating Microfossil Content of Dental Calculus from Brazilian Sambaquis.” Journal of Archaeological Science 37 (6): 1326–38.","Ipomoea batatas, Dioscorea sp."
Rabel Cave,121.81,17.68,4260,380,4807,Gak-9932,Spriggs (1989),"Spriggs, M. (1989). The dating of the Island Southeast Asian Neolithic: an attempt at chronometric hygiene and linguistic correlation. Antiquity, 63(240), 587–613. https://doi.org/10.1017/S0003598X00076560",Neolithic (Southeast Asia)
Guiyuanqiao Sichuan,105.4599,30.60628,,,4800,,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Setaria, Panicum"
Kunal,75.658333,29.626389,4250,130,4796,Beta-77727,,"Saraswat, K. S. and Pokharia, A. K. 2003. Palaeoethnobotanical investigations at Early Harappan Kunal. Pragdhara 13, 105–40; Kasturi Gupta Menon (ed.) 2003. Indian Archaeology 1997-98. A Review. New Delhi: Archaeological Survey of India.","Sorghum bicolor, Lens culinaris, Pisum sativum, Lathyrus sativus, Vigna sp., Macrotyloma uniflorum"
Laguna Pompal,-95,18.4,,,4792, CAMS-1770,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
Björkärr,15.81,56.11,4250,100,4785,Lu 36,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
"Machecoul, Prises",-1.81,46.99,4250,70,4780,Gif-5937,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Houguanzhai Gansu,107.62069,35.72969,4230,60,4765,Not reported,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza
Xujiacun South Shandong,104.86165,29.45506,,,4750,No date,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria, Panicum"
Guiyuanqiao,104.434588832609,31.1304690542547,4220,35,4743,BA120249,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Foxtail millet
Møllehøj,9.01909,56.8268,4215,45,4736,AAR-4991,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Pirak,67.9,29.5,4202,290,4736,Ly-1641,,"Costantini, L. 1979. Plant remains at Pirak, Pakistan. In: Jarrige J-F, Santoni M, Enault JF (eds) Fouilles de Pirak vol. 1, Boccard, Paris, pp 326–333; L. Costantini, L. Costantini-Biasini. 1985. Agriculture in Baluchistan between the 7th and the 3rd millennium b.c. Newsletter of Baluchistan Studies, 2, pp. 16-30; Shaffer, J.G. 1992. Indus Valley, Baluchistan, and Helmand Drainage (Afghanistan). In R.W. Ehrich (ed.) Chronologies in Old World Archaeology Volume 2. Chicago and London: Chicago University Press. Pp. 425-446.","Cicer arietinum, Hordeum vulgare, Triticum sp., Oryza sativa"
Benbakou,101.450027091848,36.8135649226284,4185,25,4726,BA110909,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Foxtail millet
Los Ajos,-53.9588,-33.7008,4190,40,4723,Beta-158280,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Tepe Yahya,56.867317,28.330867,4195,110,4711,TF-1139,," L. Costantini, L. Costantini-Biasini. 1985. Agriculture in Baluchistan between the 7th and the 3rd millennium b.c. Newsletter of Baluchistan Studies, 2, pp. 16-30; Agrawal, D.P. & Kusumgar, S.K. 1973. Tata Institute Radiocarbon Date List X. Radiocarbon 15(3). Pp. 574-585.","Lathyrus sativus, Lens esculenta, Pisum sativum, Hordeum vulgare, Triticum sp., Panicum milaceum"
Shixia,113.497852,24.949686,4207,90,4710,Bk75046,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza sativa
Coastal Plain Lake,-96.3,19.3,,,4689, Beta-130582 ,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
Balakot,66.727038,25.447182,4167,130,4683,HAR-1992,,"McKean, M.B., 1983. The palynology of Balakot, a pre-Harappan and Harappan age site in Las Bela, Pakistan. Ph.D. Thesis, Southern Methodist University, Dallas; Shaffer, J.G. 1992. Indus Valley, Baluchistan, and Helmand Drainage (Afghanistan). In R.W. Ehrich (ed.) Chronologies in Old World Archaeology Volume 2. Chicago and London: Chicago University Press. Pp. 425-446.","Hordeum vulgare, Triticum sp."
Antran – La Croix Verte,0.54,46.85,4150,70,4680,Gif-9610,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Gröninge,15.9,57.91,4150,75,4678,Ua 6005,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Dalkey Island,-6.084,53.2708,4160,150,4677,BM-78,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Naschendorf,11.1621,53.5112,4127,37,4670,Hd-15774,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Luowalinchang Qinghai,105.828055,33.901472,4110,30,4670,Beta-24458,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Setaria, Panicum"
Changdu Karuo/Qamdo Karub Tibet,97.18039,31.1383099,4115,25,4670,BA111228,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Setaria, Panicum"
Tanshishan,119.157821,26.146371,4120,30,4670,BA-04294,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza sativa
Molzen,10.6,53.02,4140,80,4668,Hv-18050,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Babarkot,71.407615,21.071828,4130,90,4655,PRL-1492,,"Reddy, S.N. 1994. Plant usage and subsistence modelling: an ethnoarchaeological approach to the Late Harappan of Northwest India. Ph.D. Dissertation. University of Wisconsin; Singh, B.P. (ed.) 1996. Indian Archaeology 1991-92. A Review. New Delhi: Archaeological Survey of India.","Dolichos biflorus, lathurys sativus, Lens esculenta, Panicum sumatrense, Setaria sp."
Yuchisi Anhui,116.752527,33.351219,,,4650,No date,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria"
Radkovice-Osobovská skála,13.458,49.4796,4115,35,4644,Poz-22381,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
"Saint Meard de Dronne, le Gros Bost",0.432,45.249,4110,70,4639,Gif-10309,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Nanguanlidong,120.2923733,23.1363841,4110,50,4635,NTU-3974,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza sativa, Panicum, Setaria"
Linjia,103.285441687191,35.6217241512106,4110,95,4633,ZK-0522,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Charred millet
Luowalinchang,101.62458968457,35.0226212230153,4110,30,4632,Beta-24458,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Foxtail millet
Demircihüyük,30.2614,39.8403,4095,60,4618,Bln-2438(III),p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Hordeum sp.
Rio Naranjo (TIL-016),-92.1,14.5,,,4611, AA-45770 ,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
Baodun Sichuan,103.81597,30.49436,4060,30,4610,BA110058,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria"
Ahlden,9.5493,52.7587,4091,46,4607,UtC-9258,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Los Gavilanes,-78.2,-10,,,4591, GX-5076,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
4-MSR,73.161537,29.201112,4065,30,4548,GdA-4806,,"Liu, Xinyi; L. Lister, Diane; Zhao, Zhijun; Petrie, Cameron A.; Zeng, Xiongsheng; Jones, Penelope J.; et al. (2017): Direct radiocarbon dates for archaeobotanical barley grains from East, Central and South Asia.. PLOS ONE. Dataset.",Hordeum vulgare
Allahdino,67.31015,24.953012,4050,50,4536,P-2296,,"Fairservis, A. W. Jr. 1982. “Allahdino: an excavation of a small Harappan site”. In Harappan Civilization: A Contemporary Perspective, Edited by: Possehl, G. 107–12. Warminster: Aris & Phillips; Shaffer, J.G. 1992. Indus Valley, Baluchistan, and Helmand Drainage (Afghanistan). In R.W. Ehrich (ed.) Chronologies in Old World Archaeology Volume 2. Chicago and London: Chicago University Press. Pp. 425-446.","Hordeum vulgare, Triticum sp."
Ikiztepe II,35.86,41.64,4030,100,4524,METU-9,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Triticum sp.
Leang Tuwo Mane’e,126.79,4.46,4030,80,4522,ANU-1515,Spriggs (1989),"Spriggs, M. (1989). The dating of the Island Southeast Asian Neolithic: an attempt at chronometric hygiene and linguistic correlation. Antiquity, 63(240), 587–613. https://doi.org/10.1017/S0003598X00076560",Neolithic (Southeast Asia)
Lothal,72.2498,22.522567,4030,130,4520,TF-136,,"Ramesh Rao and Lal 1985. Plant Remains, in Lothal (S.R. Rao Ed.), pp. 667-84. Delhi: Archaeological Surevy of India. ",Oryza sp.
Mohenjo-Daro,68.136612,27.325176,4030,64,4515,P-1179,,"Vishnu-Mittre, Savithri R. 1982. Food economy of the Harappans. In: Possehl G.L., editor. Harappan Civilisation. Oxford and IBH Publishing Co. Pvt. Ltd; New Delhi. pp. 205–221; Shaffer, J.G. 1992. Indus Valley, Baluchistan, and Helmand Drainage (Afghanistan). In R.W. Ehrich (ed.) Chronologies in Old World Archaeology Volume 2. Chicago and London: Chicago University Press. Pp. 425-446.","Pisum sativum, Hordeum vulgare, Triticum sp."
Masudspur VII,75.971297,29.228381,4040,30,4492,Beta-427238,,"Liu, Xinyi; L. Lister, Diane; Zhao, Zhijun; Petrie, Cameron A.; Zeng, Xiongsheng; Jones, Penelope J.; et al. (2017): Direct radiocarbon dates for archaeobotanical barley grains from East, Central and South Asia.. PLOS ONE. Dataset.",Hordeum vulgare
Knockacarrigeen Hill,-8.85563,53.518,4021,48,4491,UB-3969,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Khairadih,83.81667,26.18111,,,4490,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
"Nebel, Langbett 212",8.31932,54.6668,4005,28,4477,KIA-17089,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Lluta 13,-70.212943,-18.406525,3980,15,4477,UCIAMS-145254,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Cucurbita sp.
Tasbas,78.8596474033206,44.9575867357751,4010,30,4477,Beta-391200,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Triticum sp.
Balu,76.366667,29.666667,3990,30,4474,Beta-427233,,"Liu, Xinyi; L. Lister, Diane; Zhao, Zhijun; Petrie, Cameron A.; Zeng, Xiongsheng; Jones, Penelope J.; et al. (2017): Direct radiocarbon dates for archaeobotanical barley grains from East, Central and South Asia.. PLOS ONE. Dataset; Saraswat, K. S. 2002. Balu (29o40’ N; 76o22’ E), District Kaithal. Indian Archaeology – A Review 1996–7, 198–203; Saraswat, K. S. and Pokharia, A. K. 2002. Harappan plant economy at ancient Balu, Haryana. Pragdhara 12, 153–72.","Hordeum vulgare, Vigna ps., Macrotyloma uniflorum"
Ts’ao-hsieh-tun,120.68,23.79,4000,200,4467,NTU-244,Spriggs (1989),"Spriggs, M. (1989). The dating of the Island Southeast Asian Neolithic: an attempt at chronometric hygiene and linguistic correlation. Antiquity, 63(240), 587–613. https://doi.org/10.1017/S0003598X00076560",Neolithic (Southeast Asia)
Guojiacun,122.218723270056,39.6036760965845,3990,90,4463,ZK-0415,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Charred millet
Damdama,79.720164,25.491976,3984,54,4453,DAMMESO-1,,"Saraswat, K. S. (2005). Agricultural background of the early farming communities in the Middle Ganga Plain. Pragdhara (Journal of the Uttar Pradesh State Department of Archaeology), 15, 145– 177; Liu, Xinyi; L. Lister, Diane; Zhao, Zhijun; Petrie, Cameron A.; Zeng, Xiongsheng; Jones, Penelope J.; et al. (2017): Direct radiocarbon dates for archaeobotanical barley grains from East, Central and South Asia.. PLOS ONE. Dataset.",Hordeum vulgare
K’en Ting,120.77,21.94,3985,145,4452,GX-6997,Spriggs (1989),"Spriggs, M. (1989). The dating of the Island Southeast Asian Neolithic: an attempt at chronometric hygiene and linguistic correlation. Antiquity, 63(240), 587–613. https://doi.org/10.1017/S0003598X00076560",Neolithic (Southeast Asia)
Shaxia,114.038756,22.627264,,,4450,,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza sativa
